TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,FGA,FG_PCT,FG3A,FG3_PCT,EFG_PCT,TS_PCT,PACE,POSS,OFF_RATING,DEF_RATING,NET_RATING,SEASON,FGA_PER_POSS
1610612738,Boston Celtics,82,40,42,0.488,7211,0.443,2021,0.327,0.489,0.523,96.71,8007,103.8,103.5,0.3,2014-15,0.9005869863869115
1610612751,Brooklyn Nets,82,38,44,0.463,6804,0.451,1633,0.331,0.491,0.529,93.69,7777,103.4,106.3,-3.0,2014-15,0.8748874887488749
1610612766,Charlotte Hornets,82,33,49,0.402,6932,0.42,1566,0.318,0.456,0.498,93.45,7753,99.6,103.0,-3.4,2014-15,0.8941055075454662
1610612741,Chicago Bulls,82,50,32,0.61,6797,0.442,1825,0.353,0.489,0.536,93.8,7775,106.3,103.3,3.0,2014-15,0.8742122186495177
1610612739,Cleveland Cavaliers,82,53,29,0.646,6739,0.458,2253,0.367,0.52,0.557,93.23,7682,110.1,105.3,4.8,2014-15,0.8772455089820359
1610612742,Dallas Mavericks,82,50,32,0.61,7036,0.463,2082,0.352,0.515,0.55,96.4,7976,108.2,104.9,3.2,2014-15,0.8821464393179539
1610612743,Denver Nuggets,82,30,52,0.366,7158,0.433,2032,0.325,0.479,0.518,96.87,8011,103.9,107.1,-3.3,2014-15,0.8935214080639121
1610612765,Detroit Pistons,82,32,50,0.39,7038,0.432,2043,0.344,0.482,0.515,93.68,7741,104.3,105.4,-1.1,2014-15,0.9091848598372303
1610612744,Golden State Warriors,82,67,15,0.817,7137,0.478,2217,0.398,0.54,0.571,99.28,8170,110.4,100.4,9.9,2014-15,0.8735618115055079
1610612745,Houston Rockets,82,56,26,0.683,6832,0.444,2680,0.348,0.512,0.548,97.36,8037,106.0,102.6,3.4,2014-15,0.8500684334950852
1610612754,Indiana Pacers,82,38,44,0.463,6824,0.439,1740,0.352,0.484,0.523,93.67,7753,102.9,102.7,0.2,2014-15,0.8801754159680124
1610612746,Los Angeles Clippers,82,56,26,0.683,6830,0.473,2202,0.376,0.533,0.565,95.4,7844,111.6,104.7,6.9,2014-15,0.8707292197858235
1610612747,Los Angeles Lakers,82,21,61,0.256,7020,0.435,1546,0.344,0.473,0.513,95.03,7892,102.3,109.4,-7.1,2014-15,0.8895083628991384
1610612763,Memphis Grizzlies,82,55,27,0.671,6763,0.458,1246,0.339,0.489,0.531,92.82,7696,104.8,101.2,3.5,2014-15,0.8787681912681913
1610612748,Miami Heat,82,37,45,0.451,6330,0.456,1659,0.335,0.5,0.54,91.49,7526,103.2,106.1,-3.0,2014-15,0.8410842412968377
1610612749,Milwaukee Bucks,82,41,41,0.5,6722,0.459,1500,0.363,0.499,0.536,94.82,7867,102.0,101.4,0.6,2014-15,0.8544553196898437
1610612750,Minnesota Timberwolves,82,16,66,0.195,6820,0.438,1223,0.332,0.468,0.517,95.45,7873,101.8,110.9,-9.1,2014-15,0.8662517464752953
1610612740,New Orleans Pelicans,82,45,37,0.549,6795,0.457,1583,0.37,0.501,0.537,92.29,7608,107.1,106.3,0.8,2014-15,0.8931388012618297
